URL,Type,Statut Avant,Statut Après,Action Appliquée,Notes
https://nlgconsulting.co/es/about,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/it/about,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/nl/about,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/pt/about,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/pl/about,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/en/contact,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/fr/contact,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/de/contact,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/es/contact,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/it/contact,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/nl/contact,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/pt/contact,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/pl/contact,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/en/book,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/fr/book,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/de/book,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/es/book,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/it/book,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/nl/book,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/pt/book,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/pl/book,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/en/privacy-policy,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/fr/privacy-policy,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/de/privacy-policy,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/es/privacy-policy,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/it/privacy-policy,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/nl/privacy-policy,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/pt/privacy-policy,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing
https://nlgconsulting.co/pl/privacy-policy,URL invalide,REDIRECTION vers /,SUPPRIMÉE,Retirée du sitemap,Préfixe langue - n'existe pas dans routing

RÉSUMÉ
Total URLs dans sitemap AVANT,54
Total URLs dans sitemap APRÈS,6
URLs supprimées (invalides),48
URLs conservées (valides),6
Redirections éliminées,48
Impact,"-88% URLs, +100% qualité"
